site_id,building_id,primary_use,square_feet,year_built,floor_count
3,291,Public services,90635,2011.0,
3,292,Public services,33743,,
3,293,Office,408000,2010.0,
3,294,Entertainment/public assembly,14913,,
3,295,Education,83400,1942.0,
3,296,Public services,22000,,
3,297,Education,66200,1950.0,
3,298,Entertainment/public assembly,39541,,
3,299,Education,356000,2014.0,
3,300,Education,62800,2014.0,
3,301,Public services,51176,,
3,302,Education,57100,2015.0,
3,303,Entertainment/public assembly,15950,,
3,304,Entertainment/public assembly,194300,1900.0,
3,305,Office,8637,,
3,306,Education,51500,1931.0,
3,307,Public services,10873,,
3,308,Public services,5033,,
3,309,Entertainment/public assembly,2067,,
3,310,Public services,22000,,
3,311,Education,50000,1928.0,
3,312,Entertainment/public assembly,6625,,
3,313,Education,103800,,
3,314,Education,225000,,
3,315,Entertainment/public assembly,20644,,
3,316,Public services,78550,,
3,317,Office,16098,,
3,318,Office,105000,,
3,319,Public services,13100,1929.0,
3,320,Education,105500,,
3,321,Public services,15913,,
3,322,Education,37083,1908.0,
3,323,Education,282200,1928.0,
3,324,Entertainment/public assembly,11910,,
3,325,Education,59200,1959.0,
3,326,Entertainment/public assembly,45548,,
3,327,Education,99325,1927.0,
3,328,Education,47200,1935.0,
3,329,Entertainment/public assembly,3133,,
3,330,Education,65000,,
3,331,Education,288800,1923.0,
3,332,Education,90400,,
3,333,Education,59900,1962.0,
3,334,Education,57100,1960.0,
3,335,Office,229000,2010.0,
3,336,Education,43000,1923.0,
3,337,Entertainment/public assembly,22334,1977.0,
3,338,Entertainment/public assembly,23803,1969.0,
3,339,Education,71100,,
3,340,Entertainment/public assembly,1843,,
3,341,Education,158000,1959.0,
3,342,Lodging/residential,15420,,
3,343,Public services,22000,,
3,344,Education,77500,1942.0,
3,345,Lodging/residential,7250,,
3,346,Entertainment/public assembly,17709,,
3,347,Education,75900,1974.0,
3,348,Public services,10577,1969.0,
3,349,Public services,45098,,
3,350,Education,83800,1944.0,
3,351,Education,58908,1910.0,
3,352,Education,144900,,
3,353,Education,99700,1955.0,
3,354,Education,77500,,
3,355,Education,182500,1970.0,
3,356,Public services,4336,,
3,357,Lodging/residential,2000,,
3,358,Education,77700,,
3,359,Public services,4925,,
3,360,Education,69600,1949.0,
3,361,Public services,13224,1965.0,
3,362,Public services,21368,,
3,363,Education,69300,2017.0,
3,364,Education,83800,,
3,365,Healthcare,819577,1922.0,
3,366,Public services,9941,1963.0,
3,367,Entertainment/public assembly,20584,,
3,368,Retail,16500,,
3,369,Public services,6431,,
3,370,Entertainment/public assembly,15960,2005.0,
3,371,Entertainment/public assembly,5554,,
3,372,Education,49100,1911.0,
3,373,Education,46484,1932.0,
3,374,Lodging/residential,350000,1949.0,
3,375,Office,850354,1989.0,
3,376,Office,585955,1942.0,
3,377,Public services,12506,,
3,378,Public services,35241,1978.0,
3,379,Entertainment/public assembly,7675,,
3,380,Education,95100,1927.0,
3,381,Entertainment/public assembly,1858,,
3,382,Education,47984,2002.0,
3,383,Warehouse/storage,27318,,
3,384,Office,13728,,
3,385,Public services,18432,1973.0,
3,386,Entertainment/public assembly,17262,2003.0,
3,387,Education,104200,2009.0,
3,388,Public services,30810,,
3,389,Education,57165,2014.0,
3,390,Office,34400,,
3,391,Education,87107,,
3,392,Education,53000,1912.0,
3,393,Education,59400,1900.0,
3,394,Entertainment/public assembly,3545,2000.0,
3,395,Public services,8925,1912.0,
3,396,Public services,16768,1980.0,
3,397,Public services,54061,2006.0,
3,398,Education,62200,,
3,399,Education,180000,1939.0,
3,400,Public services,19315,,
3,401,Entertainment/public assembly,12660,,
3,402,Public services,2818,,
3,403,Education,49500,1962.0,
3,404,Public services,5783,,
3,405,Education,82200,1916.0,
3,406,Entertainment/public assembly,2347,,
3,407,Education,325217,2006.0,
3,408,Entertainment/public assembly,16098,1929.0,
3,409,Education,38500,2016.0,
